PRECISE MISSION TIME (min),Ppx,Ppy,Ppz
3203.650291,-220730.6257,-54286.4067,-14098.84725
3204.650291,-220801.5446,-54318.62556,-14115.79939
3205.650291,-220872.4368,-54350.83767,-14132.74975
3206.650291,-220943.3025,-54383.04304,-14149.69832
3207.650291,-221014.1415,-54415.24166,-14166.6451
3208.650291,-221084.954,-54447.43354,-14183.5901
3209.650291,-221155.7399,-54479.61868,-14200.5333
3210.650291,-221226.4993,-54511.79708,-14217.47472
3211.650291,-221297.2322,-54543.96876,-14234.41436
3212.650291,-221367.9385,-54576.1337,-14251.3522
3213.650291,-221438.6184,-54608.29191,-14268.28825
3214.650291,-221509.2718,-54640.4434,-14285.22252
3215.650291,-221579.8987,-54672.58816,-14302.155
3216.650291,-221650.4992,-54704.72621,-14319.08568
3217.650291,-221721.0734,-54736.85753,-14336.01457
3218.650291,-221791.6211,-54768.98214,-14352.94168
3219.650291,-221862.1424,-54801.10004,-14369.86699
3220.650291,-221932.6374,-54833.21123,-14386.79051
3221.650291,-222003.1061,-54865.31572,-14403.71224
3222.650291,-222073.5484,-54897.4135,-14420.63218
3223.650291,-222143.9644,-54929.50457,-14437.55032
3224.650291,-222214.3542,-54961.58895,-14454.46667
3225.650291,-222284.7177,-54993.66663,-14471.38123
3226.650291,-222355.055,-55025.73762,-14488.29399
3227.650291,-222425.366,-55057.80192,-14505.20496
3228.650291,-222495.6508,-55089.85953,-14522.11414
3229.650291,-222565.9094,-55121.91045,-14539.02152
3230.650291,-222636.1419,-55153.95469,-14555.92711
3231.650291,-222706.3482,-55185.99225,-14572.8309
3232.650291,-222776.5284,-55218.02313,-14589.73289
3233.650291,-222846.6824,-55250.04733,-14606.63309
3234.650291,-222916.8104,-55282.06487,-14623.53149
3235.650291,-222986.9123,-55314.07573,-14640.4281
3236.650291,-223056.9881,-55346.07992,-14657.32291
3237.650291,-223127.0378,-55378.07745,-14674.21592
3238.650291,-223197.0616,-55410.06832,-14691.10713
3239.650291,-223267.0593,-55442.05253,-14707.99655
3240.650291,-223337.0311,-55474.03008,-14724.88416
