MISSION ELAPSED TIME (min),Rx(km)[J2000-EARTH],Ry(km)[J2000-EARTH],Rz(km)[J2000-EARTH]
603.6238595,-67996.53417,-21385.45218,-8114.874319
603.6572772,-67997.30089,-21387.20943,-8116.234142
603.6906949,-67998.06732,-21388.96659,-8117.59393
603.7241126,-67998.83344,-21390.72365,-8118.953682
603.7575303,-67999.59928,-21392.48062,-8120.313399
603.790948,-68000.36481,-21394.2375,-8121.673081
603.8243657,-68001.13006,-21395.99429,-8123.032728
603.8577834,-68001.89501,-21397.75098,-8124.39234
603.8912011,-68002.65966,-21399.50758,-8125.751917
603.9246188,-68003.42402,-21401.26409,-8127.111458
603.9580365,-68004.18808,-21403.02051,-8128.470964
603.9914542,-68004.95185,-21404.77683,-8129.830435
604.0248718,-68005.71532,-21406.53306,-8131.189871
604.0582895,-68006.4785,-21408.28919,-8132.549272
604.0917072,-68007.24138,-21410.04524,-8133.908637
604.1251249,-68008.00397,-21411.80119,-8135.267967
604.1585426,-68008.76626,-21413.55705,-8136.627262
604.1919603,-68009.52826,-21415.31281,-8137.986522
604.225378,-68010.28996,-21417.06849,-8139.345747
604.2587957,-68011.05137,-21418.82407,-8140.704936
604.2922134,-68011.81248,-21420.57955,-8142.064091
604.3256311,-68012.5733,-21422.33495,-8143.42321
604.3590488,-68013.33382,-21424.09025,-8144.782293
604.3924665,-68014.09405,-21425.84546,-8146.141342
604.4258842,-68014.85398,-21427.60057,-8147.500355
604.4593019,-68015.61362,-21429.3556,-8148.859333
604.4927196,-68016.37297,-21431.11053,-8150.218276
604.5261373,-68017.13201,-21432.86536,-8151.577184
604.559555,-68017.89077,-21434.62011,-8152.936056
604.5929727,-68018.64923,-21436.37476,-8154.294893
604.6263904,-68019.40739,-21438.12932,-8155.653695
604.6598081,-68020.16526,-21439.88379,-8157.012462
604.6932258,-68020.92284,-21441.63816,-8158.371193
604.7266435,-68021.68012,-21443.39244,-8159.729889
604.7600612,-68022.4371,-21445.14663,-8161.08855
604.7934789,-68023.19379,-21446.90073,-8162.447176
604.8268966,-68023.95019,-21448.65473,-8163.805766
604.8603143,-68024.70629,-21450.40864,-8165.164321
604.893732,-68025.4621,-21452.16245,-8166.522841
604.9271497,-68026.21761,-21453.91618,-8167.881325
604.9605674,-68026.97283,-21455.66981,-8169.239775
604.9939851,-68027.72775,-21457.42335,-8170.598188
605.0274028,-68028.48238,-21459.17679,-8171.956567
605.0608205,-68029.23672,-21460.93015,-8173.31491
605.0942381,-68029.99075,-21462.68341,-8174.673219
605.1276558,-68030.7445,-21464.43657,-8176.031491
605.1610735,-68031.49795,-21466.18965,-8177.389729
605.1944912,-68032.25111,-21467.94263,-8178.747931
605.2279089,-68033.00397,-21469.69552,-8180.106098
605.2613266,-68033.75653,-21471.44831,-8181.464229
605.2947443,-68034.50881,-21473.20102,-8182.822326
605.328162,-68035.26078,-21474.95363,-8184.180386
605.3615797,-68036.01247,-21476.70614,-8185.538412
605.3949974,-68036.76385,-21478.45857,-8186.896402
605.4284151,-68037.51495,-21480.2109,-8188.254357
605.4618328,-68038.26575,-21481.96314,-8189.612277
605.4952505,-68039.01625,-21483.71529,-8190.970161
605.5286682,-68039.76647,-21485.46734,-8192.32801
605.5620859,-68040.51638,-21487.2193,-8193.685823
605.5955036,-68041.266,-21488.97117,-8195.043602
605.6289213,-68042.01533,-21490.72294,-8196.401345
605.662339,-68042.76437,-21492.47462,-8197.759052
605.6957567,-68043.51311,-21494.22621,-8199.116724
605.7291744,-68044.26155,-21495.97771,-8200.474361
605.7625921,-68045.0097,-21497.72911,-8201.831963
605.7960098,-68045.75756,-21499.48042,-8203.189529
605.8294275,-68046.50512,-21501.23164,-8204.547059
605.8628452,-68047.25239,-21502.98276,-8205.904555
605.8962629,-68047.99936,-21504.73379,-8207.262015
605.9296806,-68048.74604,-21506.48473,-8208.619439
605.9630983,-68049.49242,-21508.23558,-8209.976828
605.996516,-68050.23852,-21509.98633,-8211.334182
606.0299337,-68050.98431,-21511.73699,-8212.6915
606.0633514,-68051.72981,-21513.48756,-8214.048783
606.0967691,-68052.47502,-21515.23803,-8215.406031
